,2
840,SLC45A4
841,DEK
842,PTP4A2
843,PDLIM1
844,FOSL1
845,PLCXD1
846,SYK
847,PITPNB
848,GOLGA3
849,NMI
850,MIDN
851,ENSG00000260927
852,FBXO45
853,TRIB1
854,IER3-1
855,HDAC1
856,SLC43A3
857,ETV6
858,CKAP5
859,LMNB2
860,AP5B1
861,CALM2
862,ENSA
863,CKMT1B
864,ENDOU
865,PICALM
866,KANSL1-1
867,CCN5
868,NUSAP1
869,H2AZ1
870,HLA-DPB1-3
871,PTPN2
872,AKR1B10
873,ILRUN
874,ACP5
875,OASL
876,NDUFV2
877,PSMD11
878,PSMA5
879,HCAR2
880,NABP1
881,PSMD14
882,RHOA
883,MTA2
884,MNDA
885,NFKB1
886,MYO5B
887,PBX2-2
888,RANBP2
889,RNF144B
890,ARNTL2
891,OSMR
892,HK2
893,HDAC2
894,IK
895,MCM6
896,NFE2L3
897,NHP2
898,ATP5PF
899,IMMT
900,CNN2
901,FARSB
902,POLE3
903,SNHG3
904,NCKAP1L
905,PLSCR1
906,UBE2Z
907,FCGR3A
908,TYMS
909,DKC1
910,RCC1
911,BPIFC
912,CCNB1
913,EPHA1
914,EPHA1-1
915,TMED2
916,SERPINB12
917,MYO1E
918,PSMD7
919,TNIP1
920,DOC2B-1
921,HCK
922,XIST
923,RTCB
924,HAT1
925,FCN1
926,IL7R
927,MRPL51
928,MRPS15
929,CORO1A
930,HLA-DQA1-2
931,PPL
932,FCGR2A
933,CLIC1
934,RAB5IF
935,HLA-DQB1-4
936,ATP5MJ
937,DCAF11-1
938,CLIC1-4
939,CLIC1-2
940,CLIC1-3
941,CLIC1-5
942,SLC26A9
943,PRDM1
944,GNG5
945,ENSG00000196656
946,CYRIB
947,CSRNP1
948,NCAPD2
949,SLC16A1
950,CAPRIN1
951,LINC00511
952,BASP1
953,DOC2B
954,EIF3B
955,SARS1
956,CEBPZ
957,TGM1
958,TGM1-1
959,CDV3
960,DNASE1L3
961,TOP1
962,BRD2
963,WNT3-1
964,GOT2
965,UCHL3
966,RAB24
967,IL32
968,TBCA
969,PPP4R1
970,CLIC1-6
971,C16orf72
972,ATF3
973,MMP12
974,TMEM40
975,SND1
976,MPZL3
977,DNAJC9
978,FCER1G
979,PRPF40A
980,DHFR
981,EPN3
982,PAICS
983,NAGA
984,ANLN
985,CORIN
986,JPT1
987,FLNA
988,PIM3
989,HIBCH
990,FUS
991,CLPX
992,MAP3K14
993,SEC23B
994,CXCL11
995,HLA-DQA1-3
996,SERPINA1
997,ATF6B-3
998,NAA50
999,NUP210
1000,FMNL1
1001,MMP19
1002,SNRPD1
1003,PREX1
1004,SLAMF8
1005,KCTD11
1006,HPSE
1007,TTC1
1008,PRSS53
1009,TOP2B
1010,SMARCA5
1011,ABI3BP
1012,EI24
1013,DDX1
1014,EZH2
1015,PKP3
1016,DIP2B
1017,PLIN3
1018,LIPA
1019,GBAP1
1020,DCTN5
1021,THBS2
1022,FAP
1023,SLFN5
1024,BCL3
1025,KRT16P3
1026,SLA
1027,WBP1L
1028,ATP12A
1029,HLA-DOA
1030,NCF2
1031,PDXDC1-1
1032,SEC61A1
1033,CERS3
1034,EFTUD2
1035,ELL2
1036,VSIG4
1037,PARP1
1038,GTF3C6
1039,ARF6
1040,ZNFX1
1041,CDC123
1042,TNC
1043,STRAP
1044,PSMB7
1045,SPRR2F
1046,EHD1
1047,TIMELESS
1048,PTGIS
1049,PARK7
1050,IFI27
1051,NSFL1C
1052,FAM83C
1053,RAC2
1054,PSMD12
1055,MAP7D1
1056,IPO7
1057,APRT
1058,TRIM21
1059,CCNL1
1060,SAE1
1061,JAML
1062,TUBB2A
1063,CD1C
1064,MLEC
1065,GSDMA
1066,CENPU
1067,TMA7
1068,IPO5
1069,TRIM14
1070,PYCARD
1071,GDPD3
1072,VDAC2
1073,CUL3
1074,RALB
1075,FPR3
1076,HLA-DQB2-4
1077,HLA-DQB2-3
1078,SNX2
1079,RPL17-C18orf32
1080,PUM3
1081,PLA2G3
1082,ATF6B-1
1083,UAP1
1084,UBQLN4
1085,BAG6-3
1086,NELL2
1087,CEP20-1
1088,ADAMTS1
1089,PGD
1090,SEPTIN7
1091,GTF3A
1092,ABCC1
1093,PSMC6
1094,SLC27A4
1095,ATP6V1D
1096,GSDMC-1
1097,F8A1
1098,UBA1
1099,DAXX-1
1100,DAXX-3
1101,TRIM26
1102,AOX1
1103,ZWINT
1104,MED8
1105,DRAP1
1106,C14orf119
1107,EXT1
1108,PTPRE
1109,CENPF
1110,STMN1
1111,LYN
1112,XPO1
1113,SRP72
1114,RANBP1
1115,RPS4X
1116,TFDP1
1117,VDAC3
1118,OSTC
1119,COX5A
1120,CEBPD
1121,COX7C
1122,LARP7
1123,SEC11C
1124,STYXL1
1125,FANCI
1126,PDCD5
1127,PRR13
1128,GSTO1
1129,TALDO1
1130,CSF2RB
1131,AP2S1
1132,BRD7
1133,TSR1
1134,PCSK6
1135,NES
1136,STOM
1137,CASP1
1138,IDH3A
1139,LCP2
1140,CISH
1141,MRC1
1142,STK40
1143,IRAK1
1144,SPOCK2
1145,ENSG00000283782
1146,UTP3
1147,CHMP4A
1148,HMGN1
1149,SRPX
1150,SNHG12
1151,DAD1
1152,CCR1
1153,GATB
1154,EIF4E2
1155,DHRS9
1156,LDLR
1157,MRPL20
1158,RABGGTB
1159,TRIM69-1
1160,FGFBP1
1161,ANXA6
1162,ANPEP
1163,TMED9
1164,MXD1
1165,FBL-1
1166,FBL
1167,CDK1
1168,SLC39A1
1169,PPM1G
1170,ABCF2
